entity_id,sku,libelle,sd_code_sogge,sd_marque,sd_industriel,vendor_prefix,vendor_name
71052,c10-1200036554,"BOURBON FOUR ROSES KENTUCKY 40° 1L",,"FOUR ROSES",RICARD,c10,C10
71053,c10-1200001450,"BOURBON FOUR ROSES KENTUCKY 40° 70CL",84sogge-469,"FOUR ROSES",RICARD,c10,C10
71054,c10-1200025603,"BOURBON FOUR ROSES SMALL BATCH 70CL",,"FOUR ROSES",RICARD,c10,C10
84504,fb-11214,"WHISKEY BOURBON FOUR ROSES 40°      70CL",84sogge-469,"FOUR ROSES",RICARD,fb,"FRANCE BOISSONS"
83001,mp-150909,"GLENLIVET FOUNDERS RES.70CL40°",84sogge-650,GLENLIVET,RICARD,mp,DISTRIBOISSONS
83004,mp-290177,"GLENLIVET FRENCH OAK 15A 40%70",84sogge-272,GLENLIVET,RICARD,mp,DISTRIBOISSONS
83050,mp-140934,"GLENLIVET NADURRA 70 CL 55.5°",,GLENLIVET,RICARD,mp,DISTRIBOISSONS
71055,c10-1200012174,"WH GLENLIVET PRIVATE COLLECTION 91 70CL",,GLENLIVET,RICARD,c10,C10
71056,c10-1200001442,"WH SCO GLENLIVET 12A 40° 70CL",,GLENLIVET,RICARD,c10,C10
71057,c10-1200002092,"WH SCO GLENLIVET 15A 40° 70CL",,GLENLIVET,RICARD,c10,C10
71058,c10-1200012172,"WH SCO GLENLIVET 16A 55° 70CL",,GLENLIVET,RICARD,c10,C10
71059,c10-1200001458,"WH SCO GLENLIVET 18A 43° 70CL",86sogge-279,GLENLIVET,RICARD,c10,C10
71060,c10-1200035167,"WH SCO GLENLIVET 21A 40° 70CL",,GLENLIVET,RICARD,c10,C10
71061,c10-1200038736,"WH SCO GLENLIVET 25A 43° 70CL",,GLENLIVET,RICARD,c10,C10
71062,c10-1200029183,"WH SCO GLENLIVET 59.7° 16A 70CL",,GLENLIVET,RICARD,c10,C10
71063,c10-1200045324,"WH SCO GLENLIVET FIRST FILL 12A 40° 70CL",,GLENLIVET,RICARD,c10,C10
71064,c10-1200040185,"WH SCO GLENLIVET FOUNDERS RES 40° 70CL",84sogge-650,GLENLIVET,RICARD,c10,C10
71065,c10-1200001459,"WH SCO GLENLIVET FRENCH OAK 15A 40°70CL",84sogge-272,GLENLIVET,RICARD,c10,C10
71066,c10-1200050481,"WH SCO GLENLIVET NADURRA FIRST 70CL",,GLENLIVET,RICARD,c10,C10
71067,c10-1200045134,"WH SCO GLENLIVET NADURRA OLOROSO 70CL",,GLENLIVET,RICARD,c10,C10
71068,c10-1200045135,"WH SCO GLENLIVET NADURRA PEATED 70CL",,GLENLIVET,RICARD,c10,C10
71069,c10-1200012944,"WH SCO GLENLIVET NADURRA TRIP 70CL",,GLENLIVET,RICARD,c10,C10
71070,c10-1200022050,"WH SCO GLENLIVET PRIV COLLECTION 93 70CL",,GLENLIVET,RICARD,c10,C10
71071,c10-1200041817,"WH SCO GLENLIVET RICH OAK 70CL",,GLENLIVET,RICARD,c10,C10
84535,fb-106772,"WHISKY GLENLIVET FOUNDERS RES 40°  70CL",84sogge-650,GLENLIVET,RICARD,fb,"FRANCE BOISSONS"
71072,c10-1200039873,"COF JAMESON TRIOLOGY 20CL X3",,JAMESON,RICARD,c10,C10
84400,fb-11211,"IRISH WHISKEY JAMESON 40°           70CL",,JAMESON,RICARD,fb,"FRANCE BOISSONS"
84323,fb-16057,"IRISH WHISKEY JAMESON 40°   GALLON 450CL",84sogge-367,JAMESON,RICARD,fb,"FRANCE BOISSONS"
84318,fb-28867,"IRISH WHISKEY JAMESON 40°   MAGNUM 200CL",84sogge-580,JAMESON,RICARD,fb,"FRANCE BOISSONS"
84403,fb-103723,"JAMESON BLACK BARREL 40°            70CL",84sogge-277,JAMESON,RICARD,fb,"FRANCE BOISSONS"
83032,mp-3298,"JAMESON PREMIUM 70CL 40°",,JAMESON,RICARD,mp,DISTRIBOISSONS
85708,fb-103185,"JAMESON ST PATRICK 40° EDITION LIMITE 70CL",,JAMESON,RICARD,fb,"FRANCE BOISSONS"
71073,c10-1200056100,"PLF WH IRE JAMESON 40° 70CL X6 +6V",,JAMESON,RICARD,c10,C10
71074,c10-1200053949,"TEMP WH IRE JAMESON 40° 70CL + KIT",,JAMESON,RICARD,c10,C10
71075,c10-1200001452,"WH IRE JAMESON 12A 40° 70CL",,JAMESON,RICARD,c10,C10
71076,c10-1200001454,"WH IRE JAMESON 18A ETUI 40° 70CL",,JAMESON,RICARD,c10,C10
71077,c10-1200001443,"WH IRE JAMESON 40° 1L",,JAMESON,RICARD,c10,C10
71078,c10-1200001455,"WH IRE JAMESON 40° 2L",,JAMESON,RICARD,c10,C10
71079,c10-1200001457,"WH IRE JAMESON 40° 4.5L",,JAMESON,RICARD,c10,C10
71080,c10-1200001451,"WH IRE JAMESON 40° 5CL X192",,JAMESON,RICARD,c10,C10
71081,c10-1200001453,"WH IRE JAMESON 40° 70CL",,JAMESON,RICARD,c10,C10
71082,c10-1200049958,"WH IRE JAMESON BLACK BARREL  40° 70CL",84sogge-277,JAMESON,RICARD,c10,C10
71083,c10-1200049321,"WH IRE JAMESON BLENDER S DOG 43° 70CL",,JAMESON,RICARD,c10,C10
71084,c10-1200049750,"WH IRE JAMESON CASKMATES 40° 70CL",,JAMESON,RICARD,c10,C10
71085,c10-1200049407,"WH IRE JAMESON COOPER'S CROZE 43° 70CL",,JAMESON,RICARD,c10,C10
71086,c10-1200006400,"WH IRE JAMESON CRESTED TEN 40° 70CL",,JAMESON,RICARD,c10,C10
71087,c10-1200049408,"WH IRE JAMESON DISTILLER'S SAFE 40° 70CL",,JAMESON,RICARD,c10,C10
71088,c10-1200028156,"WH IRE JAMESON GOLD 70CL",,JAMESON,RICARD,c10,C10
71089,c10-1200008482,"WH IRE JAMESON SELECT RESERVE 40° 70CL",,JAMESON,RICARD,c10,C10
71090,c10-1200028155,"WH IRE JAMESON VINTAGE 46° 70CL",,JAMESON,RICARD,c10,C10
84343,fb-69552,"CACHACA JANEIRO 40°              (6)70CL",84sogge-139,JANEIRO,RICARD,fb,"FRANCE BOISSONS"
85615,fb-68686,"CACHACA JANEIRO 40°             (12)70CL",,JANEIRO,RICARD,fb,"FRANCE BOISSONS"
71091,c10-1200001480,"CACHACA JANEIRO 40° 70CL",84sogge-139,JANEIRO,RICARD,c10,C10
83132,mp-6323,"JANEIRO CACHACA 70 CL 40°",84sogge-139,JANEIRO,RICARD,mp,DISTRIBOISSONS
71092,c10-1200054681,"COGNAC GAUTIER JULES ROBIN 40° 70CL",84sogge-1322,"JULES ROBIN",RICARD,c10,C10
84359,fb-112625,"COGNAC JULES ROBIN 40° 70CL",84sogge-1322,"JULES ROBIN",RICARD,fb,"FRANCE BOISSONS"
71093,c10-1200001426,"KAHLUA  20° 70CL",,KAHLUA,RICARD,c10,C10
84409,fb-61411,"LIQUEUR DE CAFE KAHLUA 20°          70CL",86sogge-76,KAHLUA,RICARD,fb,"FRANCE BOISSONS"
84561,fb-11215,"LILLET BLANC 17°                    75CL",84sogge-470,LILLET,RICARD,fb,"FRANCE BOISSONS"
71094,c10-1200041284,"LILLET BLC 5CL",,LILLET,RICARD,c10,C10
71095,c10-1200001430,"LILLET BLC 75CL 17°",,LILLET,RICARD,c10,C10
71096,c10-1200041283,"LILLET RGE 5CL",,LILLET,RICARD,c10,C10
71097,c10-1200001431,"LILLET RGE 75CL 17°",,LILLET,RICARD,c10,C10
71098,c10-1200019769,"LILLET ROS 75CL 17°",,LILLET,RICARD,c10,C10
84562,fb-101014,"LILLET ROSE 17°                     75CL",84sogge-546,LILLET,RICARD,fb,"FRANCE BOISSONS"
84563,fb-11227,"LILLET ROUGE 17°                    75CL",84sogge-456,LILLET,RICARD,fb,"FRANCE BOISSONS"
83071,mp-1109,"MAG. LONG JOHN 200 CL 40°",,"LONG JOHN",RICARD,mp,DISTRIBOISSONS
71099,c10-1200001445,"WH SCO LONG JOHN 40° 1.5L",,"LONG JOHN",RICARD,c10,C10
71100,c10-1200001446,"WH SCO LONG JOHN 40° 70CL",84sogge-1905,"LONG JOHN",RICARD,c10,C10
71101,c10-1200001444,"WH SCO LONG JOHN PET 40° 2L",,"LONG JOHN",RICARD,c10,C10
71102,c10-1200013311,"WH SCO LONGMORN 15A 43° 70CL",,LONGMORN,RICARD,c10,C10
71103,c10-1200013009,"WH SCO LONGMORN 16A 48° 70CL",,LONGMORN,RICARD,c10,C10
71104,c10-1200048380,"WH SCO LONGMORN DISTILLER CHOICE 43°70CL",,LONGMORN,RICARD,c10,C10
84423,fb-99602,"LIQUEUR MALIBU 18°                  70CL",,MALIBU,RICARD,fb,"FRANCE BOISSONS"
71105,c10-1200012524,"MALIBU ANANAS 21° 70CL",,MALIBU,RICARD,c10,C10
71106,c10-1200026664,"MALIBU BANANE 21° 70CL",,MALIBU,RICARD,c10,C10
71107,c10-1200023117,"MALIBU COCO 18° 1.5L",,MALIBU,RICARD,c10,C10
71108,c10-1200013185,"MALIBU COCO 18° 70CL",84sogge-1978,MALIBU,RICARD,c10,C10
71109,c10-1200001427,"MALIBU COCO 21° 1.5L",,MALIBU,RICARD,c10,C10
71110,c10-1200001429,"MALIBU COCO 21° 35CL",,MALIBU,RICARD,c10,C10
71111,c10-1200001428,"MALIBU COCO 21° 70CL",84sogge-1979,MALIBU,RICARD,c10,C10
71112,c10-1200013187,"MALIBU FRESH 18° 70CL",84sogge-1972,MALIBU,RICARD,c10,C10
71113,c10-1200006587,"MALIBU FRESH 21° 70CL",,MALIBU,RICARD,c10,C10
71114,c10-1200036183,"MALIBU ISLAND SPICED 35° 70CL",,MALIBU,RICARD,c10,C10
71115,c10-1200006446,"MALIBU LIME 21° 70CL",,MALIBU,RICARD,c10,C10
71116,c10-1200025737,"MALIBU MANGO 21° 70CL",,MALIBU,RICARD,c10,C10
71117,c10-1200029406,"MALIBU PASSION 18° 70CL",,MALIBU,RICARD,c10,C10
71118,c10-1200024786,"MALIBU PASSION 21° 70CL",,MALIBU,RICARD,c10,C10
71119,c10-1200023462,"MALIBU PINA COLADA 12.5° 1.5L",,MALIBU,RICARD,c10,C10
71120,c10-1200035775,"MANDARIN 20° 1L",,MANDARIN,RICARD,c10,C10
71121,c10-1200001481,"TEQUILA MARIACHI SILVER 38° 70CL",84sogge-1515,MARIACHI,RICARD,c10,C10
71122,c10-1200001456,"WH IRE MIDLETON 40° 70CL",,MIDLETON,RICARD,c10,C10
71123,c10-1200035721,"WH IRE MIDLETON BARRY CROCKETT 70CL",,MIDLETON,RICARD,c10,C10
71124,c10-1200035722,"WH IRE MIDLETON VERY RARE 70CL",,MIDLETON,RICARD,c10,C10
84570,fb-99529,"PORTO KOPKE FINE WHITE FB 19,5°  75CL",84sogge-607,OFFLEY,RICARD,fb,"FRANCE BOISSONS"
82659,mp-8692,"PORTO OFFLEY BLANC 75 CL 19.5°",,OFFLEY,RICARD,mp,DISTRIBOISSONS
71125,c10-1200052824,"PORTO OFFLEY RGE 19.5° 75CL",,OFFLEY,RICARD,c10,C10
71126,c10-1200029199,"PORTO OFFLEY ROSE 75CL",,OFFLEY,RICARD,c10,C10
71127,c10-1200001432,"PORTO OFFLEY RUBY 75CL",,OFFLEY,RICARD,c10,C10
71128,c10-1200001434,"PORTO OFFLEY TAWNY 19.5° 75CL",84sogge-1521,OFFLEY,RICARD,c10,C10
71129,c10-1200001433,"PORTO OFFLEY WHITE 19.5° 75CL",84sogge-607,OFFLEY,RICARD,c10,C10
71130,c10-1200002979,"VODKA ORLOFF 37.5° 2L",,ORLOFF,RICARD,c10,C10
71131,c10-1200008842,"VODKA ORLOFF 37.5° 35CL",,ORLOFF,RICARD,c10,C10
71132,c10-1200001474,"VODKA ORLOFF 37.5° 4.5L",84sogge-1414,ORLOFF,RICARD,c10,C10
71133,c10-1200001477,"VODKA ORLOFF 37.5° 70CL",84sogge-218,ORLOFF,RICARD,c10,C10
84490,fb-90543,"VODKA ORLOFF 37°5                   70CL",84sogge-218,ORLOFF,RICARD,fb,"FRANCE BOISSONS"
84326,fb-90685,"VODKA ORLOFF 37°5           GALLON 450CL",84sogge-167,ORLOFF,RICARD,fb,"FRANCE BOISSONS"
83137,mp-8267,"VODKA ORLOFF 70CL 37.5°",84sogge-218,ORLOFF,RICARD,mp,DISTRIBOISSONS
83477,fb-11246,"PACIFIC                            100CL",,PACIFIC,RICARD,fb,"FRANCE BOISSONS"
71134,c10-1100000404,"PACIFIC 1L",,PACIFIC,RICARD,c10,C10
71135,c10-1100005495,"PACIFIC AGRUME 70CL",,PACIFIC,RICARD,c10,C10
71136,c10-1100001192,"PACIFIC COCO 1L",,PACIFIC,RICARD,c10,C10
71137,c10-1100002466,"PACIFIC FRAISE 1L",,PACIFIC,RICARD,c10,C10
71138,c10-1100006952,"PACIFIC FRAISE 70CL",,PACIFIC,RICARD,c10,C10
71139,c10-1100001193,"PACIFIC MENTHE 1L",,PACIFIC,RICARD,c10,C10
71140,c10-1100001191,"PACIFIC PASSION 70CL",,PACIFIC,RICARD,c10,C10
83231,mp-2446,"PACIFIC SANS ALCOOL 100 CL",,PACIFIC,RICARD,mp,DISTRIBOISSONS
71141,c10-1200039383,"CHAMP BRUT 1.5L BELLE EPOQUE PERRIER JOU",,"PERRIER JOUET",RICARD,c10,C10
71142,c10-1200016719,"CHAMP BRUT 1.5L PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71143,c10-1200053653,"CHAMP BRUT 3L PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71144,c10-1200013541,"CHAMP BRUT 75CL PERRIER JOUET X6",,"PERRIER JOUET",RICARD,c10,C10
71145,c10-1200007005,"CHAMP BRUT MILL 75CL BELLE EPOQUE JOUET",,"PERRIER JOUET",RICARD,c10,C10
71146,c10-1200050937,"CHAMP BRUT ROS 75CL BELLE EPOQ PERRIER J",,"PERRIER JOUET",RICARD,c10,C10
71147,c10-1200001424,"CHAMP GD BRUT 75CL PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71148,c10-1200007004,"CHAMP ROS 75CL PERRIER JOUET",,"PERRIER JOUET",RICARD,c10,C10
71149,c10-1200029012,"COGNAC POLIGNAC 70CL",,POLIGNAC,RICARD,c10,C10
71150,c10-1200024612,"COGNAC POLIGNAC VSOP 40° 1.5L",,POLIGNAC,RICARD,c10,C10
71151,c10-1200043823,"COGNAC POLIGNAC VSOP 40° 50CL",,POLIGNAC,RICARD,c10,C10
71152,c10-1200056973,"WH IRE POWER'S 12A JOHN LANE 46° 70CL",,POWER'S,RICARD,c10,C10
71153,c10-1200026494,"WH IRE POWER'S 40° 12A 70CL",,POWER'S,RICARD,c10,C10
71154,c10-1200003088,"WH IRE POWER'S 40° 70CL + VERRES",,POWER'S,RICARD,c10,C10
71155,c10-1200000975,"WH IRE POWER'S 70CL",,POWER'S,RICARD,c10,C10
71156,c10-1200037130,"WH IRE POWER'S GOLD 70CL",,POWER'S,RICARD,c10,C10
71157,c10-1200038500,"WH IRE POWER'S SIGNATURE RELEASE 70CL",,POWER'S,RICARD,c10,C10
82735,mp-2010,"MIGN RICARD 54X2CL 45°",,RICARD,RICARD,mp,DISTRIBOISSONS
82731,mp-250800,"PASTIS 51 45% 100CLX6 + 1 MALE",,RICARD,RICARD,mp,DISTRIBOISSONS
82733,mp-882,"RICARD 100 CL 45°",,RICARD,RICARD,mp,DISTRIBOISSONS
82734,mp-250799,"RICARD 45% 100CL X12 + 6 VERRE",,RICARD,RICARD,mp,DISTRIBOISSONS
84302,fb-11244,"RICARD 45°                         100CL",,RICARD,RICARD,fb,"FRANCE BOISSONS"
71158,c10-1200001487,"RICARD 45° 1.5L",,RICARD,RICARD,c10,C10
71159,c10-1200001485,"RICARD 45° 1L",,RICARD,RICARD,c10,C10
71160,c10-1200027804,"RICARD 45° 20CL",,RICARD,RICARD,c10,C10
71161,c10-1200001482,"RICARD 45° 2CL",,RICARD,RICARD,c10,C10
71162,c10-1200019136,"RICARD 45° 35CL",,RICARD,RICARD,c10,C10
71163,c10-1200001489,"RICARD 45° 4.5L",,RICARD,RICARD,c10,C10
71164,c10-1200001486,"RICARD 45° 50CL",,RICARD,RICARD,c10,C10
71165,c10-1200001484,"RICARD 45° 70CL",,RICARD,RICARD,c10,C10
84325,fb-13322,"RICARD 45° GALLON                  450CL",84sogge-524,RICARD,RICARD,fb,"FRANCE BOISSONS"
84309,fb-11245,"RICARD 45° MAGNUM                  150CL",84sogge-447,RICARD,RICARD,fb,"FRANCE BOISSONS"
85963,fb-11366,"RICARD 45° MIGN                      2CL",,RICARD,RICARD,fb,"FRANCE BOISSONS"
71166,c10-1200001483,"RICARD 7.5° 25CL X24",112sogge-229,RICARD,RICARD,c10,C10
82737,mp-8968,"RICARD BOUTEILLE 24X25CL 7.5°",112sogge-229,RICARD,RICARD,mp,DISTRIBOISSONS
71167,c10-1200019722,"ARAK SAIBADA 53° 70CL",,SAIBADA,RICARD,c10,C10
71168,c10-1200011106,"VODKA SEAGRAM 37.5° 35CL",,SEAGRAM,RICARD,c10,C10
71169,c10-1200026980,"WHI SCO SHEEP DIP BLENDED MALT 40° 70CL",,"SHEEP DIP",RICARD,c10,C10
71170,c10-1200026663,"WHI SHEEP DIP PURE MALT 45° 70CL",,"SHEEP DIP",RICARD,c10,C10
71171,c10-1200006107,"WH SCO STRATHISLA 12A 70CL",,STRATHISLA,RICARD,c10,C10
82805,mp-250269,"RHUM VANA 40% 100CL",,VANA,RICARD,mp,DISTRIBOISSONS
71172,c10-1200001425,"RHUM VANA 40° 1L",,VANA,RICARD,c10,C10
71173,c10-1200006570,"TEQUILA VIUDA ROMERO 38° 70CL",84sogge-1681,"VIUDA ROMERO",RICARD,c10,C10
71174,c10-1200015779,"PORTO WARRE RGE 10A 75CL",,WARRE,RICARD,c10,C10
