entity_id,sku,libelle,result,sd_code_check,sd_code_sogge,sd_marque,sd_industriel,vendor_prefix,vendor_name
71090,c10-1200028155,WH IRE JAMESON VINTAGE 46° 70CL,WHISKY IRISH JAMESON VINTAGE 46° 1X70CL,1sogge-189,,JAMESON,RICARD,c10,C10
84343,fb-69552,CACHACA JANEIRO 40°              (6)70CL,CACHACA JANEIRO 40° 6X70CL,1sogge-190,84sogge-139,JANEIRO,RICARD,fb,FRANCE BOISSONS
85615,fb-68686,CACHACA JANEIRO 40°             (12)70CL,CACHACA JANEIRO 40° 12X70CL,1sogge-191,,JANEIRO,RICARD,fb,FRANCE BOISSONS
71091,c10-1200001480,CACHACA JANEIRO 40° 70CL,CACHACA JANEIRO 40° 1X70CL,1sogge-192,84sogge-139,JANEIRO,RICARD,c10,C10
83132,mp-6323,JANEIRO CACHACA 70 CL 40°,JANEIRO CACHACA 40° 1X70CL,1sogge-193,84sogge-139,JANEIRO,RICARD,mp,DISTRIBOISSONS
71092,c10-1200054681,COGNAC GAUTIER JULES ROBIN 40° 70CL,COGNAC GAUTIER JULES ROBIN 40° 1X70CL,1sogge-194,84sogge-1322,JULES ROBIN,RICARD,c10,C10
84359,fb-112625,COGNAC JULES ROBIN 40° 70CL,COGNAC JULES ROBIN 40° 1X70CL,1sogge-195,84sogge-1322,JULES ROBIN,RICARD,fb,FRANCE BOISSONS
71093,c10-1200001426,KAHLUA  20° 70CL,KAHLUA 20° 1X70CL,1sogge-196,,KAHLUA,RICARD,c10,C10
84409,fb-61411,LIQUEUR DE CAFE KAHLUA 20°          70CL,LIQUEUR DE CAFE KAHLUA 20° 1X70CL,1sogge-197,86sogge-76,KAHLUA,RICARD,fb,FRANCE BOISSONS
84561,fb-11215,LILLET BLANC 17°                    75CL,LILLET BLANC 17° 1X75CL,1sogge-198,84sogge-470,LILLET,RICARD,fb,FRANCE BOISSONS
71094,c10-1200041284,LILLET BLC 5CL,LILLET BLANC 1X5CL,1sogge-199,,LILLET,RICARD,c10,C10
71095,c10-1200001430,LILLET BLC 75CL 17°,LILLET BLANC 17° 1X75CL,1sogge-198,,LILLET,RICARD,c10,C10
71096,c10-1200041283,LILLET RGE 5CL,LILLET ROUGE 1X5CL,1sogge-200,,LILLET,RICARD,c10,C10
71097,c10-1200001431,LILLET RGE 75CL 17°,LILLET ROUGE 17° 1X75CL,1sogge-201,,LILLET,RICARD,c10,C10
71098,c10-1200019769,LILLET ROS 75CL 17°,LILLET ROSE 17° 1X75CL,1sogge-202,,LILLET,RICARD,c10,C10
84562,fb-101014,LILLET ROSE 17°                     75CL,LILLET ROSE 17° 1X75CL,1sogge-202,84sogge-546,LILLET,RICARD,fb,FRANCE BOISSONS
84563,fb-11227,LILLET ROUGE 17°                    75CL,LILLET ROUGE 17° 1X75CL,1sogge-201,84sogge-456,LILLET,RICARD,fb,FRANCE BOISSONS
83071,mp-1109,MAG. LONG JOHN 200 CL 40°,MAG. LONG JOHN 40° 120X2L,1sogge-203,,LONG JOHN,RICARD,mp,DISTRIBOISSONS
71099,c10-1200001445,WH SCO LONG JOHN 40° 1.5L,WHISKY SCOTCH LONG 40° 1X1.5L,1sogge-204,,LONG JOHN,RICARD,c10,C10
71100,c10-1200001446,WH SCO LONG JOHN 40° 70CL,WHISKY SCOTCH LONG 40° 1X70CL,1sogge-205,84sogge-1905,LONG JOHN,RICARD,c10,C10
71101,c10-1200001444,WH SCO LONG JOHN PET 40° 2L,WHISKY SCOTCH LONG JOHN 40° 1X2L,1sogge-206,,LONG JOHN,RICARD,c10,C10
71102,c10-1200013311,WH SCO LONGMORN 15A 43° 70CL,WHISKY SCOTCH LONGMORN 43° 1X70CL,1sogge-207,,LONGMORN,RICARD,c10,C10
71103,c10-1200013009,WH SCO LONGMORN 16A 48° 70CL,WHISKY SCOTCH LONGMORN 48° 16ANS 1X70CL,1sogge-208,,LONGMORN,RICARD,c10,C10
71104,c10-1200048380,WH SCO LONGMORN DISTILLER CHOICE 43°70CL,WHISKY SCOTCH LONGMORN DISTILLER CHOICE 43° 1X70CL,1sogge-209,,LONGMORN,RICARD,c10,C10
84423,fb-99602,LIQUEUR MALIBU 18°                  70CL,LIQUEUR MALIBU 18° 1X70CL,1sogge-210,,MALIBU,RICARD,fb,FRANCE BOISSONS
71105,c10-1200012524,MALIBU ANANAS 21° 70CL,MALIBU ANANAS 21° 1X70CL,1sogge-211,,MALIBU,RICARD,c10,C10
71106,c10-1200026664,MALIBU BANANE 21° 70CL,MALIBU BANANE 21° 1X70CL,1sogge-212,,MALIBU,RICARD,c10,C10
71107,c10-1200023117,MALIBU COCO 18° 1.5L,MALIBU COCO 18° 1X1.5L,1sogge-213,,MALIBU,RICARD,c10,C10
71108,c10-1200013185,MALIBU COCO 18° 70CL,MALIBU COCO 18° 1X70CL,1sogge-214,84sogge-1978,MALIBU,RICARD,c10,C10
71109,c10-1200001427,MALIBU COCO 21° 1.5L,MALIBU COCO 21° 1X1.5L,1sogge-215,,MALIBU,RICARD,c10,C10
71110,c10-1200001429,MALIBU COCO 21° 35CL,MALIBU COCO 21° 1X35CL,1sogge-216,,MALIBU,RICARD,c10,C10
71111,c10-1200001428,MALIBU COCO 21° 70CL,MALIBU COCO 21° 1X70CL,1sogge-217,84sogge-1979,MALIBU,RICARD,c10,C10
71112,c10-1200013187,MALIBU FRESH 18° 70CL,MALIBU FRESH 18° 1X70CL,1sogge-218,84sogge-1972,MALIBU,RICARD,c10,C10
71113,c10-1200006587,MALIBU FRESH 21° 70CL,MALIBU FRESH 21° 1X70CL,1sogge-219,,MALIBU,RICARD,c10,C10
71114,c10-1200036183,MALIBU ISLAND SPICED 35° 70CL,MALIBU ISLAND SPICED 35° 1X70CL,1sogge-220,,MALIBU,RICARD,c10,C10
71115,c10-1200006446,MALIBU LIME 21° 70CL,MALIBU LIME 21° 1X70CL,1sogge-221,,MALIBU,RICARD,c10,C10
71116,c10-1200025737,MALIBU MANGO 21° 70CL,MALIBU MANGO 21° 1X70CL,1sogge-222,,MALIBU,RICARD,c10,C10
71117,c10-1200029406,MALIBU PASSION 18° 70CL,MALIBU PASSION 18° 1X70CL,1sogge-223,,MALIBU,RICARD,c10,C10
71118,c10-1200024786,MALIBU PASSION 21° 70CL,MALIBU PASSION 21° 1X70CL,1sogge-224,,MALIBU,RICARD,c10,C10
71119,c10-1200023462,MALIBU PINA COLADA 12.5° 1.5L,MALIBU PINA COLADA 12.5° 1X1.5L,1sogge-225,,MALIBU,RICARD,c10,C10
71120,c10-1200035775,MANDARIN 20° 1L,MANDARIN 20° 1X1L,1sogge-226,,MANDARIN,RICARD,c10,C10
71121,c10-1200001481,TEQUILA MARIACHI SILVER 38° 70CL,TEQUILA MARIACHI SILVER 38° 1X70CL,1sogge-227,84sogge-1515,MARIACHI,RICARD,c10,C10
71122,c10-1200001456,WH IRE MIDLETON 40° 70CL,WHISKY IRISH MIDLETON 40° 1X70CL,1sogge-228,,MIDLETON,RICARD,c10,C10
71123,c10-1200035721,WH IRE MIDLETON BARRY CROCKETT 70CL,WHISKEY BLACH BARREY CROCKETT 1X70CL,1sogge-229,,MIDLETON,RICARD,c10,C10
71124,c10-1200035722,WH IRE MIDLETON VERY RARE 70CL,WHISKY IRISH MIDLETON VERY RARE 1X70CL,1sogge-230,,MIDLETON,RICARD,c10,C10
84570,fb-99529,"PORTO KOPKE FINE WHITE FB 19,5°  75CL",PORTO KOPKE FINE WHITE 19.5° 1X75CL,1sogge-231,84sogge-607,OFFLEY,RICARD,fb,FRANCE BOISSONS
82659,mp-8692,PORTO OFFLEY BLANC 75 CL 19.5°,PORTO OFFLEY BLANC 19.5° 1X75CL,1sogge-232,,OFFLEY,RICARD,mp,DISTRIBOISSONS
71125,c10-1200052824,PORTO OFFLEY RGE 19.5° 75CL,PORTO OFFLEY ROUGE 19.5° 1X75CL,1sogge-233,,OFFLEY,RICARD,c10,C10
71126,c10-1200029199,PORTO OFFLEY ROSE 75CL,PORTO OFFLEY ROSE 1X75CL,1sogge-234,,OFFLEY,RICARD,c10,C10
71127,c10-1200001432,PORTO OFFLEY RUBY 75CL,PORTO OFFLEY RUBY 1X75CL,1sogge-235,,OFFLEY,RICARD,c10,C10
71128,c10-1200001434,PORTO OFFLEY TAWNY 19.5° 75CL,PORTO OFFLEY TAWNY 19.5° 1X75CL,1sogge-236,84sogge-1521,OFFLEY,RICARD,c10,C10
71129,c10-1200001433,PORTO OFFLEY WHITE 19.5° 75CL,PORTO OFFLEY WHITE 19.5° 1X75CL,1sogge-237,84sogge-607,OFFLEY,RICARD,c10,C10
71130,c10-1200002979,VODKA ORLOFF 37.5° 2L,VODKA ORLOFF 37° 1X75CL,1sogge-238,,ORLOFF,RICARD,c10,C10
71131,c10-1200008842,VODKA ORLOFF 37.5° 35CL,VODKA ORLOFF 37.5° 1X35CL,1sogge-239,,ORLOFF,RICARD,c10,C10
71132,c10-1200001474,VODKA ORLOFF 37.5° 4.5L,VODKA ORLOFF 37° 1X4.5L,1sogge-240,84sogge-1414,ORLOFF,RICARD,c10,C10
71133,c10-1200001477,VODKA ORLOFF 37.5° 70CL,VODKA ORLOFF 37° 1X70CL,1sogge-241,84sogge-218,ORLOFF,RICARD,c10,C10
84490,fb-90543,VODKA ORLOFF 37°5                   70CL,VODKA ORLOFF 37° 1X70CL,1sogge-241,84sogge-218,ORLOFF,RICARD,fb,FRANCE BOISSONS
84326,fb-90685,VODKA ORLOFF 37°5           GALLON 450CL,VODKA ORLOFF 37° 1X4.5L,1sogge-240,84sogge-167,ORLOFF,RICARD,fb,FRANCE BOISSONS
83137,mp-8267,VODKA ORLOFF 70CL 37.5°,VODKA ORLOFF 37° 1X70CL,1sogge-241,84sogge-218,ORLOFF,RICARD,mp,DISTRIBOISSONS
83477,fb-11246,PACIFIC                            100CL,PACIFIC 1X1L,1sogge-242,,PACIFIC,RICARD,fb,FRANCE BOISSONS
71134,c10-1100000404,PACIFIC 1L,PACIFIC 1X1L,1sogge-242,,PACIFIC,RICARD,c10,C10
71135,c10-1100005495,PACIFIC AGRUME 70CL,PACIFIC AGRUME 70CL,1sogge-243,,PACIFIC,RICARD,c10,C10
71136,c10-1100001192,PACIFIC COCO 1L,PACIFIC COCO 1X1L,1sogge-244,,PACIFIC,RICARD,c10,C10
71137,c10-1100002466,PACIFIC FRAISE 1L,PACIFIC FRAISE 1X1L,1sogge-245,,PACIFIC,RICARD,c10,C10
71138,c10-1100006952,PACIFIC FRAISE 70CL,PACIFIC FRAISE 77° 1X70CL,1sogge-246,,PACIFIC,RICARD,c10,C10
71139,c10-1100001193,PACIFIC MENTHE 1L,PACIFIC MENTHE 1X1L,1sogge-247,,PACIFIC,RICARD,c10,C10
71140,c10-1100001191,PACIFIC PASSION 70CL,PACIFIC PASSION 1X70CL,1sogge-248,,PACIFIC,RICARD,c10,C10
83231,mp-2446,PACIFIC SANS ALCOOL 100 CL,PACIFIC SANS ALCOOL 120X1L,1sogge-249,,PACIFIC,RICARD,mp,DISTRIBOISSONS
71141,c10-1200039383,CHAMP BRUT 1.5L BELLE EPOQUE PERRIER JOU,CHAMP BESEL ELEME 1X1.5L,1sogge-250,,PERRIER JOUET,RICARD,c10,C10
71142,c10-1200016719,CHAMP BRUT 1.5L PERRIER JOUET,CHAMP BRET ROUG 1X1.5L,1sogge-251,,PERRIER JOUET,RICARD,c10,C10
71143,c10-1200053653,CHAMP BRUT 3L PERRIER JOUET,CHAMP BRUR JOUGER 1X3L,1sogge-252,,PERRIER JOUET,RICARD,c10,C10
71144,c10-1200013541,CHAMP BRUT 75CL PERRIER JOUET X6,CHAMP BRET PIR BOURE 1X75CL,1sogge-253,,PERRIER JOUET,RICARD,c10,C10
71145,c10-1200007005,CHAMP BRUT MILL 75CL BELLE EPOQUE JOUET,CHAMP BESQUIL BLEND 1X75CL,1sogge-254,,PERRIER JOUET,RICARD,c10,C10
71146,c10-1200050937,CHAMP BRUT ROS 75CL BELLE EPOQ PERRIER J,PLEMP WRISKY BLAND ROSE 1X75CL,1sogge-255,,PERRIER JOUET,RICARD,c10,C10
71147,c10-1200001424,CHAMP GD BRUT 75CL PERRIER JOUET,CHAMP BRET ROUGN 1X75CL,1sogge-256,,PERRIER JOUET,RICARD,c10,C10
71148,c10-1200007004,CHAMP ROS 75CL PERRIER JOUET,CHAMP BRUT ROSE 1X75CL,1sogge-257,,PERRIER JOUET,RICARD,c10,C10
71149,c10-1200029012,COGNAC POLIGNAC 70CL,COGNAC POLIGNAC 1X70CL,1sogge-258,,POLIGNAC,RICARD,c10,C10
71150,c10-1200024612,COGNAC POLIGNAC VSOP 40° 1.5L,COGNAC POLIGNAC VSOP 40° 1X1.5L,1sogge-259,,POLIGNAC,RICARD,c10,C10
71151,c10-1200043823,COGNAC POLIGNAC VSOP 40° 50CL,COGNAC POLIGNAC VSOP 40° 1X50CL,1sogge-260,,POLIGNAC,RICARD,c10,C10
71152,c10-1200056973,WH IRE POWER'S 12A JOHN LANE 46° 70CL,WHISKY BLAN POWER'S 46° 12ANS 1X70CL,1sogge-261,,POWER'S,RICARD,c10,C10
71153,c10-1200026494,WH IRE POWER'S 40° 12A 70CL,WHISKY IRISH POWER'S 40° 12ANS 1X70CL,1sogge-262,,POWER'S,RICARD,c10,C10
71154,c10-1200003088,WH IRE POWER'S 40° 70CL + VERRES,WHISKY IRISH POWER'S 40° 1X70CL,1sogge-263,,POWER'S,RICARD,c10,C10
71155,c10-1200000975,WH IRE POWER'S 70CL,WHISKY IRISH POWER'S 1X70CL,1sogge-264,,POWER'S,RICARD,c10,C10
71156,c10-1200037130,WH IRE POWER'S GOLD 70CL,WHISKY GLEND PORED 1X70CL,1sogge-265,,POWER'S,RICARD,c10,C10
71157,c10-1200038500,WH IRE POWER'S SIGNATURE RELEASE 70CL,WHISKY SHEELAD PORETAS RELE 1X70CL,1sogge-266,,POWER'S,RICARD,c10,C10
82735,mp-2010,MIGN RICARD 54X2CL 45°,MIGN RICARD 45° 24X2CL,1sogge-267,,RICARD,RICARD,mp,DISTRIBOISSONS
82731,mp-250800,PASTIS 51 45% 100CLX6 + 1 MALE,MALIBU PASSION 1X1L,1sogge-268,,RICARD,RICARD,mp,DISTRIBOISSONS
82733,mp-882,RICARD 100 CL 45°,RICARD 45° 120X1L,1sogge-269,,RICARD,RICARD,mp,DISTRIBOISSONS
82734,mp-250799,RICARD 45% 100CL X12 + 6 VERRE,RICARD BESTRA 45° 6X1L,1sogge-270,,RICARD,RICARD,mp,DISTRIBOISSONS
84302,fb-11244,RICARD 45°                         100CL,RICARD 45° 120X1L,1sogge-269,,RICARD,RICARD,fb,FRANCE BOISSONS
71158,c10-1200001487,RICARD 45° 1.5L,RICARD 45° 1X1.5L,1sogge-271,,RICARD,RICARD,c10,C10
71159,c10-1200001485,RICARD 45° 1L,RICARD 45° 1X1L,1sogge-272,,RICARD,RICARD,c10,C10
71160,c10-1200027804,RICARD 45° 20CL,RICARD 45° 1X20CL,1sogge-273,,RICARD,RICARD,c10,C10
71161,c10-1200001482,RICARD 45° 2CL,RICARD 45° 1X2CL,1sogge-274,,RICARD,RICARD,c10,C10
71162,c10-1200019136,RICARD 45° 35CL,RICARD 45° 1X35CL,1sogge-275,,RICARD,RICARD,c10,C10
71163,c10-1200001489,RICARD 45° 4.5L,RICARD 45° 1X4.5L,1sogge-276,,RICARD,RICARD,c10,C10
71164,c10-1200001486,RICARD 45° 50CL,RICARD 45° 1X50CL,1sogge-277,,RICARD,RICARD,c10,C10
71165,c10-1200001484,RICARD 45° 70CL,RICARD 45° 1X70CL,1sogge-278,,RICARD,RICARD,c10,C10
84325,fb-13322,RICARD 45° GALLON                  450CL,LILLET RICA 45° 1X4.5L,1sogge-279,84sogge-524,RICARD,RICARD,fb,FRANCE BOISSONS
84309,fb-11245,RICARD 45° MAGNUM                  150CL,MANGARD 45° 1X1.5L,1sogge-280,84sogge-447,RICARD,RICARD,fb,FRANCE BOISSONS
85963,fb-11366,RICARD 45° MIGN                      2CL,MIGN RICARD 45° 1X2CL,1sogge-281,,RICARD,RICARD,fb,FRANCE BOISSONS
71166,c10-1200001483,RICARD 7.5° 25CL X24,RICARD 7.5° 24X2.5L,1sogge-282,112sogge-229,RICARD,RICARD,c10,C10
82737,mp-8968,RICARD BOUTEILLE 24X25CL 7.5°,RICARD BOUTEILLE 7.5° 24X2.5L,1sogge-283,112sogge-229,RICARD,RICARD,mp,DISTRIBOISSONS
71167,c10-1200019722,ARAK SAIBADA 53° 70CL,ARAK SAIBADA 53° 1X70CL,1sogge-284,,SAIBADA,RICARD,c10,C10
71168,c10-1200011106,VODKA SEAGRAM 37.5° 35CL,VODKA SEAGRAM 7.5° 1X35CL,1sogge-285,,SEAGRAM,RICARD,c10,C10
71169,c10-1200026980,WHI SCO SHEEP DIP BLENDED MALT 40° 70CL,WHISKY SHEEP DIP BLENDED MALT 40° 1X70CL,1sogge-286,,SHEEP DIP,RICARD,c10,C10
71170,c10-1200026663,WHI SHEEP DIP PURE MALT 45° 70CL,WHISKY SHEEP DIP PURE MALT 45° 1X70CL,1sogge-287,,SHEEP DIP,RICARD,c10,C10
71171,c10-1200006107,WH SCO STRATHISLA 12A 70CL,WHISKY SCOTCH STRATHISLA 12ANS 1X70CL,1sogge-288,,STRATHISLA,RICARD,c10,C10
82805,mp-250269,RHUM VANA 40% 100CL,RHUM VANA 40° 1X1L,1sogge-289,,VANA,RICARD,mp,DISTRIBOISSONS
71172,c10-1200001425,RHUM VANA 40° 1L,RHUM VANA 40° 1X1L,1sogge-289,,VANA,RICARD,c10,C10
71173,c10-1200006570,TEQUILA VIUDA ROMERO 38° 70CL,TEQUILA VIUDA ROMERO 38° 1X70CL,1sogge-290,84sogge-1681,VIUDA ROMERO,RICARD,c10,C10
71174,c10-1200015779,PORTO WARRE RGE 10A 75CL,PORTO WARRE ROSE 10ANS 1X75CL,1sogge-291,,WARRE,RICARD,c10,C10
